Conference,Year,Title,Award,authornum,authornum_77,PaperType,Link,cite,cite_log,cite_log_one
Vis,1990,A methodology for scientific data visualisation: choosing representations based on a natural scene paradigm,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146372,1,0,0
Vis,1990,Applying space subdivision techniques to volume rendering,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146377,1,0,0
Vis,1990,Case study in scientific visualization: factors inducing periodic breathing in humans with blunted hypoxic sensitivity,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146415,1,0,0
Vis,1990,Visualization for the information age,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146414,1,0,0
Vis,1990,Exploring N-dimensional databases,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146386,2,0.301029996,0.094465266
Vis,1990,Personal visualization system: applications in research and engineering,0,5,3.85,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146418,2,0.301029996,0.094465266
Vis,1990,Real-world applications of visualization solutions,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146417,3,0.477121255,0.149723905
Vis,1990,Visualization and three-dimensional image processing of positron emission tomography (PET) brain images,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146376,3,0.477121255,0.149723905
Vis,1990,Techniques for visualizing Fermat's last theorem: a case study,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146370,4,0.602059991,0.188930533
Vis,1990,Visualizing a scalar field on an N-dimensional lattice,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146389,4,0.602059991,0.188930533
Vis,1990,A numerical method for rendering spherical reflections,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146393,5,0.698970004,0.219341556
Vis,1990,Visualization of scalar data defined on a structured grid-applications to petroleum research,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146392,5,0.698970004,0.219341556
Vis,1990,Classifying visual knowledge representations: a foundation for visualization research,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146374,6,0.77815125,0.244189171
